sede,slug,programa_en,programa_es,precio_idr,idioma,branch_code,cloudinary_url
Gili Trawangan,ow,Open Water,Open Water,"6,400,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528268/dpm_gili_trawangan_ow_en_uezny9.jpg
Gili Trawangan,ow,Open Water,Open Water,"6,400,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528271/dpm_gili_trawangan_ow_es_n1wjqy.jpg
Gili Trawangan,ow30,Open Water 30,Open Water 30,"9,500,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528275/dpm_gili_trawangan_ow30_en_ygu0y1.jpg
Gili Trawangan,ow30,Open Water 30,Open Water 30,"9,500,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528278/dpm_gili_trawangan_ow30_es_xq09jq.jpg
Gili Trawangan,advanced,Advanced,Curso Avanzado,"5,400,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528238/dpm_gili_trawangan_advanced_en_xuqvpu.jpg
Gili Trawangan,advanced,Advanced,Curso Avanzado,"5,400,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528240/dpm_gili_trawangan_advanced_es_awwcjx.jpg
Gili Trawangan,scuba,Scuba Diver,Scuba Diver,"4,600,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528301/dpm_gili_trawangan_scuba_en_jgjday.jpg
Gili Trawangan,scuba,Scuba Diver,Scuba Diver,"4,600,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528305/dpm_gili_trawangan_scuba_es_nwsrup.jpg
Gili Trawangan,rescue,Stress & Rescue,Rescue Course,"6,400,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528295/dpm_gili_trawangan_rescue_en_xfoyqw.jpg
Gili Trawangan,rescue,Stress & Rescue,Rescue Course,"6,400,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528298/dpm_gili_trawangan_rescue_es_aa50bd.jpg
Gili Trawangan,deep,Deep Specialty,Especialidad Profunda,"4,190,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528243/dpm_gili_trawangan_deep_en_aychxt.jpg
Gili Trawangan,deep,Deep Specialty,Especialidad Profunda,"4,190,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528247/dpm_gili_trawangan_deep_es_ro5kww.jpg
Gili Trawangan,nitrox,Nitrox Specialty,Nitrox Specialty,"3,200,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528262/dpm_gili_trawangan_nitrox_en_tpszfa.jpg
Gili Trawangan,nitrox,Nitrox Specialty,Nitrox Specialty,"3,200,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528266/dpm_gili_trawangan_nitrox_es_jzafhp.jpg
Gili Trawangan,reactright,React Right,React Right,"2,400,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528281/dpm_gili_trawangan_reactright_en_rfaip6.jpg
Gili Trawangan,reactright,React Right,React Right,"2,400,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528286/dpm_gili_trawangan_reactright_es_jsvenu.jpg
Gili Trawangan,tryscuba,Try Scuba Diving,Bautizo de Buceo,"1,750,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528307/dpm_gili_trawangan_tryscuba_en_givvdx.jpg
Gili Trawangan,tryscuba,Try Scuba Diving,Bautizo de Buceo,"1,750,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528310/dpm_gili_trawangan_tryscuba_es_zw9gr7.jpg
Gili Trawangan,deepadv,Deep Adventure,Aventura Profunda,"1,680,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528250/dpm_gili_trawangan_deepadv_en_btyevw.jpg
Gili Trawangan,deepadv,Deep Adventure,Aventura Profunda,"1,680,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528254/dpm_gili_trawangan_deepadv_es_rrxfnz.jpg
Gili Trawangan,refresh,Refresh + Fun Dive,Refresh + Fun Dive,"1,540,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528288/dpm_gili_trawangan_refresh_en_vlvwwr.jpg
Gili Trawangan,refresh,Refresh + Fun Dive,Refresh + Fun Dive,"1,540,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528291/dpm_gili_trawangan_refresh_es_woozwc.jpg
Gili Trawangan,fundives,Fun Dives,Fun Dives,"1,180,000 IDR",EN,GTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528258/dpm_gili_trawangan_fundives_en_dam2ux.jpg
Gili Trawangan,fundives,Fun Dives,Fun Dives,"1,180,000 IDR",ES,GTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781528259/dpm_gili_trawangan_fundives_es_nywnl1.jpg
