sede,slug,programa_en,programa_es,precio_thb,idioma,branch_code,cloudinary_url
Koh Tao,ow,Open Water,Open Water,"11,000 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531736/dpm_koh_tao_ow_en_u7blqz.jpg
Koh Tao,ow,Open Water,Open Water,"11,000 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531739/dpm_koh_tao_ow_es_bw6noq.jpg
Koh Tao,ow30,Open Water 30,Open Water 30,"17,900 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531743/dpm_koh_tao_ow30_en_k8tdml.jpg
Koh Tao,ow30,Open Water 30,Open Water 30,"17,900 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531750/dpm_koh_tao_ow30_es_jqdvrd.jpg
Koh Tao,advanced,Advanced,Curso Avanzado,"10,000 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531686/dpm_koh_tao_advanced_en_x3lpty.jpg
Koh Tao,advanced,Advanced,Curso Avanzado,"10,000 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531674/dpm_koh_tao_advanced_es_b142kz.jpg
Koh Tao,scuba,Scuba Diver,Scuba Diver,"8,600 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531764/dpm_koh_tao_scuba_en_iet9wt.jpg
Koh Tao,scuba,Scuba Diver,Scuba Diver,"8,600 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531768/dpm_koh_tao_scuba_es_cgqkih.jpg
Koh Tao,tryscuba,Try Scuba Diving,Bautizo de Buceo,"3,600 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531779/dpm_koh_tao_tryscuba_en_dkbzvd.jpg
Koh Tao,tryscuba,Try Scuba Diving,Bautizo de Buceo,"3,600 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531782/dpm_koh_tao_tryscuba_es_hqnhei.jpg
Koh Tao,deepadv,Deep Adventure,Aventura Profunda,"2,900 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531697/dpm_koh_tao_deepadv_en_opb9ni.jpg
Koh Tao,deepadv,Deep Adventure,Aventura Profunda,"2,900 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531704/dpm_koh_tao_deepadv_es_vrovq5.jpg
Koh Tao,fundives,Fun Dives,Fun Dives,"2,100 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531722/dpm_koh_tao_fundives_en_bwrdxl.jpg
Koh Tao,fundives,Fun Dives,Fun Dives,"2,100 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531726/dpm_koh_tao_fundives_es_crqekn.jpg
Koh Tao,refresh,Refresh + Fun Dive,Refresh + Fun Dive,"2,600 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531746/dpm_koh_tao_refresh_en_ohu0zc.jpg
Koh Tao,refresh,Refresh + Fun Dive,Refresh + Fun Dive,"2,600 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531754/dpm_koh_tao_refresh_es_w89eio.jpg
Koh Tao,rescue,Stress & Rescue,Rescue Course,"12,600 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531761/dpm_koh_tao_rescue_en_pgfyfr.jpg
Koh Tao,rescue,Stress & Rescue,Rescue Course,"12,600 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531757/dpm_koh_tao_rescue_es_dxes8m.jpg
Koh Tao,divemaster,Divemaster,Divemaster,"44,000 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531707/dpm_koh_tao_divemaster_en_x7vjea.jpg
Koh Tao,divemaster,Divemaster,Divemaster,"44,000 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531711/dpm_koh_tao_divemaster_es_monoe4.jpg
Koh Tao,coral,Coral Ecology,Ecología de Coral,"4,500 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531682/dpm_koh_tao_coral_en_om9nrf.jpg
Koh Tao,coral,Coral Ecology,Ecología de Coral,"4,500 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531689/dpm_koh_tao_coral_es_cnqplk.jpg
Koh Tao,fish,Fish Ecology,Ecología de Peces,"4,500 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531714/dpm_koh_tao_fish_en_licezr.jpg
Koh Tao,fish,Fish Ecology,Ecología de Peces,"4,500 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531718/dpm_koh_tao_fish_es_d4azk6.jpg
Koh Tao,marine,Marine Ecology,Ecología Marina,"4,500 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531729/dpm_koh_tao_marine_en_n1wdzx.jpg
Koh Tao,marine,Marine Ecology,Ecología Marina,"4,500 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531732/dpm_koh_tao_marine_es_acelre.jpg
Koh Tao,blueoceans,Blue Oceans,Blue Oceans,"4,500 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531675/dpm_koh_tao_blueoceans_en_pvwlhu.jpg
Koh Tao,blueoceans,Blue Oceans,Blue Oceans,"4,500 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531679/dpm_koh_tao_blueoceans_es_cai4zn.jpg
Koh Tao,turtle,Sea Turtle Ecology,Ecología de Tortugas,"3,500 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531786/dpm_koh_tao_turtle_en_ku4cj3.jpg
Koh Tao,turtle,Sea Turtle Ecology,Ecología de Tortugas,"3,500 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531790/dpm_koh_tao_turtle_es_s78vrw.jpg
Koh Tao,shark,Shark Ecology,Ecología de Tiburones,"3,500 THB",EN,KTEN,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531772/dpm_koh_tao_shark_en_zey7qd.jpg
Koh Tao,shark,Shark Ecology,Ecología de Tiburones,"3,500 THB",ES,KTES,https://res.cloudinary.com/drk4qqccv/image/upload/v1781531775/dpm_koh_tao_shark_es_dwatl8.jpg
